"","x","y"
"1",3.34810189485844,2.84065472702802
"2",3.09367810170955,3.58973366544625
"3",2.08568615161395,1.60437838140234
"4",2.29280444333779,2.31238131121787
"5",3.06376650759021,3.96114143237886
"6",3.20982087883679,2.96497992898399
"7",3.88221019946841,4.52551255597508
"8",2.5378836117159,1.71678432251242
"9",4.36263740883716,3.84057679375996
"10",3.15331382368788,2.75534513900289
"11",3.37673505684582,4.39704834300231
"12",1.3878214198899,0.533513853418932
"13",3.44382370694938,2.7056068007116
"14",1.52326367494009,1.67043977767341
"15",2.41647263082957,3.20716934629463
"16",1.54345778436737,1.47674824925503
"17",2.49769835307927,3.08962245723165
"18",2.54220189481967,2.15500571189951
"19",1.14847892784447,1.42080017916338
"20",4.78260554545747,4.8493352769379
"21",1.48102890075633,1.51481621756274
"22",3.84485315789937,4.01632465529662
"23",2.7660150370539,3.79935332320264
"24",3.2598841403558,3.54987519635616
"25",3.18307128429921,3.31716599975901
"26",3.87764577740866,3.86958807538391
"27",3.34158496067317,3.18989510083405
"28",3.36662331465719,2.69559953782974
"29",4.95840640232081,4.79300166105353
"30",3.41203889131988,3.76738856281327
"31",4.20123915961881,4.38815802892346
"32",4.39395120249693,4.40824068450185
"33",2.24778572748193,2.02763490747002
"34",4.13741880108612,4.78430467142128
"35",1.05128487092705,1.1504579082508
"36",2.54489715072159,2.73038218505417
"37",5.22186870225223,4.87916800923203
"38",3.49112950748901,2.71961596726475
"39",0.96843084237391,0.521728125266731
"40",2.24604988795697,2.08271030609931
"41",4.40137074562287,4.52610240721432
"42",3.73414647098828,3.36882555451835
"43",1.7256536761338,2.20094630278361
"44",4.90829527672397,5.2174368585778
"45",3.04640772865431,3.20899312628348
"46",2.8343729751134,2.92016764604776
"47",2.95258811055739,2.29307889053498
"48",2.09191771209297,1.15724911439343
"49",4.49077715134533,1.97972337537119
"50",1.94833947034898,0.705828064669915
"51",2.73487194334761,0.95185908164059
"52",2.41685041471498,0.884621449663378
"53",2.71202263059223,0.352842822793694
"54",3.02864125572506,2.08183051935693
"55",3.32141768857418,0.66671499163765
"56",2.89594394332285,1.47781895134709
"57",3.69264062070947,1.59764357510424
"58",3.64896837843908,1.80495557872493
"59",2.90519193115196,1.06903004910175
"60",2.53928594649796,0.690209511647042
"61",2.45703343035033,0.936207644570465
"62",3.50399527388388,1.68598385713254
"63",2.6351554293393,1.05066121234458
"64",1.66715958585806,0.730818828369112
"65",3.57386622970657,2.24717133800128
"66",4.22870884949882,1.63847049237885
"67",3.91624900872061,1.07830873097616
"68",2.52273393087943,1.42829398892552
"69",2.66941986916106,1.73056992491472
"70",2.37049279197442,2.12786304638013
"71",3.41635707826662,1.8795372524441
"72",2.7714816716451,1.17240814804741
"73",2.0303041420483,1.36339125701264
"74",3.79022952617552,2.16177651338596
"75",1.92911107385999,1.22338190117233
"76",3.77121566916957,1.85545229796084
"77",3.92973347613955,1.68994698839275
"78",3.55220409196042,1.94476722516194
"79",3.70883983493181,1.06971607674012
"80",2.52050098797676,1.15384407991184
